code,Schooling_profile,First_Name,Surname,Gender,Age,Civil_Status,degree,Skill_experience,performance,Language,Religious_affiliation,Interest_Hobbies,Network,school1
1,"Ahmadu Bello University, Zaira",Amadi,Sawaba,male,20-25,single,Masters',has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
2,"Willfield College after a four-year program in Chichester, USA",Auta,William,female,20-25,single,Masters',has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
3,"Belington College after a three-year degree program in Worcester, UK",Mayowa,Sawaba,male,26-30,single,Masters',has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
4,"Belington College after a three-year degree program in Worcester, UK",Mayowa,Edward,male,31-40,single,Masters',has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
5,"Belington College after a three-year degree program in Worcester, UK",Mayowa,William,male,31-40,single,Masters',has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
6,"Ahmadu Bello University, Zaira",Yalwa,Benedict,female,31-40,single,Masters',has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
7,"Willfield College after a four-year program in Chichester, USA",Mayowa,Sawaba,female,31-40,single,Masters',has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
8,"Ahmadu Bello University, Zaira",Amadi,William,female,31-40,single,Masters',has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
9,"Ahmadu Bello University, Zaira",Amadi,William,female,20-25,married,Masters',has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
10,"Willfield College after a four-year program in Chichester, USA",Amadi,Sawaba,female,20-25,single,Bachelor's,has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
